PersonID,OTAZ,DTAZ,Taxi Cost,TaxiTime(s)
30049262,1564,389,84.02527102,4923.6
30049262,389,1564,84.02527102,4923.6
30050101,317,139,9.207237074,411.24
30050101,139,317,9.207237074,411.24
30050102,317,139,9.207237074,411.24
30050102,139,317,9.207237074,411.24
30051031,245,19,33.79863537,1948.7
30051031,19,10,5.595494531,125.8
30051031,10,19,5.595494531,125.8
30051031,19,245,33.79863537,1948.7
30051121,86,117,6.57994723,222.25
30051121,117,148,7.827122727,344.44
30051121,148,86,6.824544815,246.21
30052011,903,880,15.02264673,744.86
30052011,880,903,15.02264673,744.86
30052291,41,752,43.08827102,2652.4
30052291,752,40,42.29212259,2574.4
30052291,40,41,5.235217259,90.504
30053501,1546,9,46.7807419,3336.5
30053501,9,1546,46.7807419,3336.5
30053501,1546,1543,10.24736449,923.61
30053501,1543,1546,10.24736449,923.61
30054981,163,147,8.044872727,365.77
30054981,147,163,8.044872727,365.77
30054981,163,167,6.898221023,253.43
30054981,167,163,6.898221023,253.43
30054981,163,163,4.976948438,65.199
30054981,163,163,4.976948438,65.199
30054982,163,147,8.044872727,365.77
30054982,147,163,8.044872727,365.77
30054983,163,167,6.898221023,253.43
30054983,167,163,6.898221023,253.43
30054983,163,163,4.976948438,65.199
30054983,163,163,4.976948438,65.199
30057421,1080,1276,14.67622628,798.58
30057421,1276,1066,19.59230369,1344.5
30057421,1066,1070,5.883394673,154.01
30057421,1070,1067,5.984846378,163.94
30057421,1067,1066,5.397911151,106.44
30057421,1066,1080,15.76745071,817.45
30057422,1066,1070,5.883394673,154.01
30057422,1070,1066,5.883394673,154.01
30057423,1066,1070,5.883394673,154.01
30057423,1070,1066,5.883394673,154.01
30058621,1326,1084,26.9265196,1661.6
30058621,1084,1326,26.9265196,1661.6
30058622,1326,1208,23.95843864,1356.1
30058622,1208,1326,23.95843864,1356.1
30059661,843,921,18.59325185,1061
30059661,921,764,20.89571065,1179.7
30059661,764,843,17.96598338,977.8
30061402,226,115,24.15330014,1288.4
30061402,115,226,24.15330014,1288.4
30062501,26,26,5.131538565,80.344
30062501,26,26,5.131538565,80.344
30064931,1260,1259,5.175088565,105.77
30064931,1259,1260,5.175088565,105.77
30064931,1260,1275,8.584855611,423.17
30064931,1275,1259,8.856053338,431.97
30064931,1259,1260,5.175088565,105.77
30064932,1260,1259,5.175088565,105.77
30064932,1259,1260,5.175088565,105.77
30064932,1260,1275,8.584855611,423.17
30064932,1275,1259,8.856053338,431.97
30064932,1259,1260,5.175088565,105.77
30064933,1260,1259,5.175088565,105.77
30064933,1259,1260,5.175088565,105.77
30067051,940,928,9.194308168,694.3
30067051,928,940,9.194308168,694.3
30067641,736,736,7.541573295,302.48
30070422,48,941,58.69141946,4601.1
30070422,941,48,58.69141946,4601.1
30070621,1216,1213,5.970803977,162.57
30070621,1213,1217,5.286561719,95.536
30070621,1217,1216,4.995692259,67.037
30070621,1216,1222,5.583555398,124.63
30070621,1222,1216,5.583555398,124.63
30070981,33,111,9.963114134,553.7
30070981,111,33,9.963114134,553.7
30070982,33,363,17.42470142,1138.7
30070982,363,33,17.42470142,1138.7
30072871,941,192,42.8686652,3378.1
30072871,192,188,7.439008097,306.41
30072871,188,941,46.5469081,3641
30073601,176,351,22.47377955,1479.2
30073601,351,176,22.47377955,1479.2
30074233,549,557,6.930264915,217.76
30074233,557,549,6.930264915,217.76
30074351,62,89,7.21606179,292.06
30074351,89,62,7.21606179,292.06
30074352,62,35,6.484372301,220.37
30074352,35,19,8.772603125,437.07
30074352,19,62,10.29388381,593.6
30074771,552,647,11.30976179,987.26
30074771,647,552,11.30976179,987.26
30074771,552,563,10.00140597,541.81
30074771,563,552,10.00140597,541.81
30075621,1082,28,13.44395923,984.29
30075621,28,29,5.799449574,295.5
30075621,29,28,5.799449574,295.5
30075621,28,1082,13.44395923,984.29
30075621,1082,1082,5.465958026,141.39
30076861,481,186,30.14946705,1599.2
30076861,186,481,30.14946705,1599.2
30076862,481,471,10.39762436,506.46
30076862,471,481,10.39762436,506.46
30077411,559,685,19.27186477,1009.5
30077411,685,559,19.27186477,1009.5
30077413,559,182,45.79777386,2558.8
30077413,182,185,5.872692756,152.95
30077413,185,182,5.872692756,152.95
